PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country,Scor
manchester_city_ederson,manchester_city,Manchester City,manchester_city.png,31,Ederson,Goalkeeper,"Aug 17, 1993 (31)",Brazil,â‚¬25.00m,manchester_city_ederson.jpg,Premier League,Anglia,4
manchester_city_stefan_ortega,manchester_city,Manchester City,manchester_city.png,18,Stefan Ortega,Goalkeeper,"Nov 6, 1992 (32)",Germany,â‚¬9.00m,manchester_city_stefan_ortega.jpg,Premier League,Anglia,1
manchester_city_scott_carson,manchester_city,Manchester City,manchester_city.png,33,Scott Carson,Goalkeeper,"Sep 3, 1985 (39)",England,â‚¬200k,manchester_city_scott_carson.jpg,Premier League,Anglia,1
manchester_city_ruben_dias,manchester_city,Manchester City,manchester_city.png,3,Ruben Dias,Centre-Back,"May 14, 1997 (27)",Portugal,â‚¬70.00m,manchester_city_ruben_dias.jpg,Premier League,Anglia,4
manchester_city_abdukodir_khusanov,manchester_city,Manchester City,manchester_city.png,45,Abdukodir Khusanov,Centre-Back,"Feb 29, 2004 (21)",Uzbekistan,â‚¬35.00m,manchester_city_abdukodir_khusanov.jpg,Premier League,Anglia,3
manchester_city_nathan_ake,manchester_city,Manchester City,manchester_city.png,6,Nathan Ake,Centre-Back,"Feb 18, 1995 (30)",Netherlands,â‚¬32.00m,manchester_city_nathan_ake.jpg,Premier League,Anglia,4
manchester_city_manuel_akanji,manchester_city,Manchester City,manchester_city.png,25,Manuel Akanji,Centre-Back,"Jul 19, 1995 (29)",Switzerland,â‚¬32.00m,manchester_city_manuel_akanji.jpg,Premier League,Anglia,3
manchester_city_john_stones,manchester_city,Manchester City,manchester_city.png,5,John Stones,Centre-Back,"May 28, 1994 (30)",England,â‚¬30.00m,manchester_city_john_stones.jpg,Premier League,Anglia,4
manchester_city_josko_gvardiol,manchester_city,Manchester City,manchester_city.png,24,Josko Gvardiol,Left-Back,"Jan 23, 2002 (23)",Croatia,â‚¬75.00m,manchester_city_josko_gvardiol.jpg,Premier League,Anglia,4
manchester_city_rico_lewis,manchester_city,Manchester City,manchester_city.png,82,Rico Lewis,Right-Back,"Nov 21, 2004 (20)",England,â‚¬40.00m,manchester_city_rico_lewis.jpg,Premier League,Anglia,2
manchester_city_rodri,manchester_city,Manchester City,manchester_city.png,16,Rodri,Defensive Midfield,"Jun 22, 1996 (28)",Spain,â‚¬130.00m,manchester_city_rodri.jpg,Premier League,Anglia,5
manchester_city_nico_gonzalez,manchester_city,Manchester City,manchester_city.png,14,Nico Gonzalez,Central Midfield,"Jan 3, 2002 (23)",Spain,â‚¬40.00m,manchester_city_nico_gonzalez.jpg,Premier League,Anglia,2
manchester_city_matheus_nunes,manchester_city,Manchester City,manchester_city.png,27,Matheus Nunes,Central Midfield,"Aug 27, 1998 (26)",Portugal,â‚¬35.00m,manchester_city_matheus_nunes.jpg,Premier League,Anglia,3
manchester_city_mateo_kovacic,manchester_city,Manchester City,manchester_city.png,8,Mateo Kovacic,Central Midfield,"May 6, 1994 (30)",Croatia,â‚¬25.00m,manchester_city_mateo_kovacic.jpg,Premier League,Anglia,4
manchester_city_ilkay_gundogan,manchester_city,Manchester City,manchester_city.png,19,Ilkay Gundogan,Central Midfield,"Oct 24, 1990 (34)",Germany,â‚¬7.00m,manchester_city_ilkay_gundogan.jpg,Premier League,Anglia,4
manchester_city_bernardo_silva,manchester_city,Manchester City,manchester_city.png,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (30)",Portugal,â‚¬45.00m,manchester_city_bernardo_silva.jpg,Premier League,Anglia,5
manchester_city_kevin_de_bruyne,manchester_city,Manchester City,manchester_city.png,17,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (33)",Belgium,â‚¬27.00m,manchester_city_kevin_de_bruyne.jpg,Premier League,Anglia,5
manchester_city_james_mcatee,manchester_city,Manchester City,manchester_city.png,87,James McAtee,Attacking Midfield,"Oct 18, 2002 (22)",England,â‚¬18.00m,manchester_city_james_mcatee.jpg,Premier League,Anglia,2
manchester_city_nico_o'reilly,manchester_city,Manchester City,manchester_city.png,75,Nico O'Reilly,Attacking Midfield,"Mar 21, 2005 (20)",England,â‚¬7.00m,manchester_city_nico_o'reilly.jpg,Premier League,Anglia,2
manchester_city_jeremy_doku,manchester_city,Manchester City,manchester_city.png,11,Jeremy Doku,Left Winger,"May 27, 2002 (22)",Belgium,â‚¬55.00m,manchester_city_jeremy_doku.jpg,Premier League,Anglia,3
