PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
inter_milano_josep_martinez,inter_milano,Inter Milano,inter_milano.png,13,Josep Martinez,Goalkeeper,"May 27, 1998 (26)",Spain,€12.00m,inter_milano_josep_martinez.jpg,Seria A,Italia
inter_milano_yann_sommer,inter_milano,Inter Milano,inter_milano.png,1,Yann Sommer,Goalkeeper,"Dec 17, 1988 (36)",Switzerland,€4.00m,inter_milano_yann_sommer.jpg,Seria A,Italia
inter_milano_raffaele_di_gennaro,inter_milano,Inter Milano,inter_milano.png,12,Raffaele Di Gennaro,Goalkeeper,"Oct 3, 1993 (31)",Italy,€300k,inter_milano_raffaele_di_gennaro.jpg,Seria A,Italia
inter_milano_alessandro_bastoni,inter_milano,Inter Milano,inter_milano.png,95,Alessandro Bastoni,Centre-Back,"Apr 13, 1999 (26)",Italy,€80.00m,inter_milano_alessandro_bastoni.jpg,Seria A,Italia
inter_milano_benjamin_pavard,inter_milano,Inter Milano,inter_milano.png,28,Benjamin Pavard,Centre-Back,"Mar 28, 1996 (29)",France,€30.00m,inter_milano_benjamin_pavard.jpg,Seria A,Italia
inter_milano_yann_bisseck,inter_milano,Inter Milano,inter_milano.png,31,Yann Bisseck,Centre-Back,"Nov 29, 2000 (24)",Germany,€30.00m,inter_milano_yann_bisseck.jpg,Seria A,Italia
inter_milano_stefan_de_vrij,inter_milano,Inter Milano,inter_milano.png,6,Stefan de Vrij,Centre-Back,"Feb 5, 1992 (33)",Netherlands,€7.00m,inter_milano_stefan_de_vrij.jpg,Seria A,Italia
inter_milano_francesco_acerbi,inter_milano,Inter Milano,inter_milano.png,15,Francesco Acerbi,Centre-Back,"Feb 10, 1988 (37)",Italy,€3.00m,inter_milano_francesco_acerbi.jpg,Seria A,Italia
inter_milano_federico_dimarco,inter_milano,Inter Milano,inter_milano.png,32,Federico Dimarco,Left-Back,"Nov 10, 1997 (27)",Italy,€60.00m,inter_milano_federico_dimarco.jpg,Seria A,Italia
inter_milano_carlos_augusto,inter_milano,Inter Milano,inter_milano.png,30,Carlos Augusto,Left-Back,"Jan 7, 1999 (26)",Brazil,€22.00m,inter_milano_carlos_augusto.jpg,Seria A,Italia
inter_milano_denzel_dumfries,inter_milano,Inter Milano,inter_milano.png,2,Denzel Dumfries,Right-Back,"Apr 18, 1996 (29)",Netherlands,€28.00m,inter_milano_denzel_dumfries.jpg,Seria A,Italia
inter_milano_matteo_darmian,inter_milano,Inter Milano,inter_milano.png,36,Matteo Darmian,Right-Back,"Dec 2, 1989 (35)",Italy,€4.00m,inter_milano_matteo_darmian.jpg,Seria A,Italia
inter_milano_hakan_calhanoglu,inter_milano,Inter Milano,inter_milano.png,20,Hakan Calhanoglu,Defensive Midfield,"Feb 8, 1994 (31)",Türkiye,€35.00m,inter_milano_hakan_calhanoglu.jpg,Seria A,Italia
inter_milano_kristjan_asllani,inter_milano,Inter Milano,inter_milano.png,21,Kristjan Asllani,Defensive Midfield,"Mar 9, 2002 (23)",Albania,€15.00m,inter_milano_kristjan_asllani.jpg,Seria A,Italia
inter_milano_nicolo_barella,inter_milano,Inter Milano,inter_milano.png,23,Nicolo Barella,Central Midfield,"Feb 7, 1997 (28)",Italy,€80.00m,inter_milano_nicolo_barella.jpg,Seria A,Italia
inter_milano_davide_frattesi,inter_milano,Inter Milano,inter_milano.png,16,Davide Frattesi,Central Midfield,"Sep 22, 1999 (25)",Italy,€32.00m,inter_milano_davide_frattesi.jpg,Seria A,Italia
inter_milano_piotr_zielinski,inter_milano,Inter Milano,inter_milano.png,7,Piotr Zielinski,Central Midfield,"May 20, 1994 (30)",Poland,€14.00m,inter_milano_piotr_zielinski.jpg,Seria A,Italia
inter_milano_henrikh_mkhitaryan,inter_milano,Inter Milano,inter_milano.png,22,Henrikh Mkhitaryan,Central Midfield,"Jan 21, 1989 (36)",Armenia,€4.00m,inter_milano_henrikh_mkhitaryan.jpg,Seria A,Italia
inter_milano_nicola_zalewski,inter_milano,Inter Milano,inter_milano.png,59,Nicola Zalewski,Left Midfield,"Jan 23, 2002 (23)",Poland,€10.00m,inter_milano_nicola_zalewski.jpg,Seria A,Italia
inter_milano_valentin_carboni,inter_milano,Inter Milano,inter_milano.png,45,Valentin Carboni,Attacking Midfield,"Mar 5, 2005 (20)",Argentina,€12.00m,inter_milano_valentin_carboni.jpg,Seria A,Italia
inter_milano_joaquin_correa,inter_milano,Inter Milano,inter_milano.png,11,Joaquin Correa,Second Striker,"Aug 13, 1994 (30)",Argentina,€3.00m,inter_milano_joaquin_correa.jpg,Seria A,Italia
inter_milano_lautaro_martinez,inter_milano,Inter Milano,inter_milano.png,10,Lautaro Martinez,Centre-Forward,"Aug 22, 1997 (27)",Argentina,€95.00m,inter_milano_lautaro_martinez.jpg,Seria A,Italia
inter_milano_marcus_thuram,inter_milano,Inter Milano,inter_milano.png,9,Marcus Thuram,Centre-Forward,"Aug 6, 1997 (27)",France,€75.00m,inter_milano_marcus_thuram.jpg,Seria A,Italia
inter_milano_mehdi_taremi,inter_milano,Inter Milano,inter_milano.png,99,Mehdi Taremi,Centre-Forward,"Jul 18, 1992 (32)",Iran,€5.00m,inter_milano_mehdi_taremi.jpg,Seria A,Italia
inter_milano_marko_arnautovic,inter_milano,Inter Milano,inter_milano.png,8,Marko Arnautovic,Centre-Forward,"Apr 19, 1989 (36)",Austria,€3.50m,inter_milano_marko_arnautovic.jpg,Seria A,Italia
juventus_michele_di_gregorio,juventus,Juventus,juventus.png,29,Michele Di Gregorio,Goalkeeper,"Jul 27, 1997 (27)",Italy,€18.00m,juventus_michele_di_gregorio.jpg,Seria A,Italia
juventus_mattia_perin,juventus,Juventus,juventus.png,1,Mattia Perin,Goalkeeper,"Nov 10, 1992 (32)",Italy,€3.00m,juventus_mattia_perin.jpg,Seria A,Italia
juventus_carlo_pinsoglio,juventus,Juventus,juventus.png,23,Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990 (35)",Italy,€200k,juventus_carlo_pinsoglio.jpg,Seria A,Italia
juventus_bremer,juventus,Juventus,juventus.png,3,Bremer,Centre-Back,"Mar 18, 1997 (28)",Brazil,€50.00m,juventus_bremer.jpg,Seria A,Italia
juventus_pierre_kalulu,juventus,Juventus,juventus.png,15,Pierre Kalulu,Centre-Back,"Jun 5, 2000 (24)",France,€26.00m,juventus_pierre_kalulu.jpg,Seria A,Italia
juventus_federico_gatti,juventus,Juventus,juventus.png,4,Federico Gatti,Centre-Back,"Jun 24, 1998 (26)",Italy,€25.00m,juventus_federico_gatti.jpg,Seria A,Italia
juventus_lloyd_kelly,juventus,Juventus,juventus.png,6,Lloyd Kelly,Centre-Back,"Oct 6, 1998 (26)",England,€18.00m,juventus_lloyd_kelly.jpg,Seria A,Italia
juventus_renato_veiga,juventus,Juventus,juventus.png,12,Renato Veiga,Centre-Back,"Jul 29, 2003 (21)",Portugal,€18.00m,juventus_renato_veiga.jpg,Seria A,Italia
