PlayerID,Scor,Liga
fcsb_stefan_tarnovanu,5,superliga
fcsb_lukas_zima,3,superliga
fcsb_joyskim_dawa,4,superliga
fcsb_siyabonga_ngezana,5,superliga
fcsb_mihai_popescu,3,superliga
fcsb_vlad_chiriches,4,superliga
fcsb_andrei_dancus,1,superliga
fcsb_risto_radunovic,5,superliga
fcsb_david_kiki,2,superliga
fcsb_alexandru_pantea,2,superliga
fcsb_ionut_cercel,2,superliga
fcsb_valentin_cretu,5,superliga
fcsb_adrian_sut,5,superliga
fcsb_baba_alhassan,3,superliga
fcsb_mihai_lixandru,3,superliga
fcsb_juri_cisotti,3,superliga
fcsb_malcom_edjouma,4,superliga
fcsb_andrei_gheorghita,3,superliga
fcsb_darius_olaru,5,superliga
fcsb_florin_tanase,4,superliga
fcsb_octavian_popescu,5,superliga
fcsb_alexandru_musi,3,superliga
fcsb_mihai_toma,2,superliga
fcsb_david_miculescu,4,superliga
fcsb_marius_stefanescu,3,superliga
fcsb_alexandru_baluta,3,superliga
fcsb_daniel_birligea,5,superliga
fcsb_jordan_gele,4,superliga
fc_rapid_1923_marian_aioani,3,superliga
fc_rapid_1923_franz_stolz,2,superliga
fc_rapid_1923_adrian_briciu,1,superliga
fc_rapid_1923_alexandru_pascanu,5,superliga
fc_rapid_1923_denis_ciobotariu,3,superliga
fc_rapid_1923_cristian_ignat,4,superliga
fc_rapid_1923_cristian_sapunaru,5,superliga
fc_rapid_1923_andrei_borza,5,superliga
fc_rapid_1923_robert_badescu,2,superliga
fc_rapid_1923_cristian_manea,3,superliga
fc_rapid_1923_razvan_onea,3,superliga
fc_rapid_1923_christopher_braun,3,superliga
fc_rapid_1923_tobias_christensen,4,superliga
fc_rapid_1923_jakub_hromada,4,superliga
fc_rapid_1923_kader_keita,3,superliga
fc_rapid_1923_peter_ademo,3,superliga
fc_rapid_1923_diogo_mendes,2,superliga
fc_rapid_1923_catalin_vulturar,2,superliga
fc_rapid_1923_constantin_grameni,3,superliga
fc_rapid_1923_mattias_kait,4,superliga
fc_rapid_1923_luka_gojkovic,2,superliga
fc_rapid_1923_xian_emmers,3,superliga
fc_rapid_1923_claudiu_petrila,5,superliga
fc_rapid_1923_alexandru_dobre,4,superliga
fc_rapid_1923_claudiu_micovschi,3,superliga
fc_rapid_1923_rares_pop,4,superliga
fc_rapid_1923_clinton_n'jie,5,superliga
fc_rapid_1923_david_ankeye,5,superliga
fc_rapid_1923_borisav_burmaz,3,superliga
fc_rapid_1923_elvir_koljic,3,superliga
cs_universitatea_craiova_laurentiu_popescu,3,superliga
cs_universitatea_craiova_silviu_lung_jr.,3,superliga
cs_universitatea_craiova_denil_maldonado,3,superliga
cs_universitatea_craiova_gjoko_zajkov,3,superliga
cs_universitatea_craiova_juraj_badelj,3,superliga
cs_universitatea_craiova_marcus_pacurar,1,superliga
cs_universitatea_craiova_nicusor_bancu,4,superliga
cs_universitatea_craiova_basilio_ndong,2,superliga
cs_universitatea_craiova_iago_lopez,2,superliga
cs_universitatea_craiova_vladimir_screciu,4,superliga
cs_universitatea_craiova_anzor_mekvabishvili,3,superliga
cs_universitatea_craiova_takuto_oshima,3,superliga
cs_universitatea_craiova_robert_lapadatescu,2,superliga
cs_universitatea_craiova_mihai_capatina,3,superliga
cs_universitatea_craiova_alexandru_cicaldau,4,superliga
cs_universitatea_craiova_lyes_houri,3,superliga
cs_universitatea_craiova_alexandru_mitrita,5,superliga
cs_universitatea_craiova_stefan_baiaram,4,superliga
cs_universitatea_craiova_luis_paradela,3,superliga
cs_universitatea_craiova_carlos_mora,3,superliga
cs_universitatea_craiova_stefan_bana,3,superliga
cs_universitatea_craiova_alisson_safira,3,superliga
cs_universitatea_craiova_jovo_lukic,3,superliga
cs_universitatea_craiova_david_barbu,3,superliga
cfr_cluj_otto_hindrich,3,superliga
cfr_cluj_mihai_popa,3,superliga
cfr_cluj_alexandru_borbei,1,superliga
cfr_cluj_rares_gal,2,superliga
cfr_cluj_matei_ilie,4,superliga
cfr_cluj_leo_bolgado,3,superliga
cfr_cluj_daniel_graovac,3,superliga
cfr_cluj_simao_rocha,2,superliga
cfr_cluj_aly_abeid,3,superliga
cfr_cluj_mario_camora,4,superliga
cfr_cluj_flavius_iacob,2,superliga
cfr_cluj_alexandru_tirlea,2,superliga
cfr_cluj_andrei_peteleu,3,superliga
cfr_cluj_lindon_emerllahu,3,superliga
cfr_cluj_moustapha_name,2,superliga
cfr_cluj_panagiotis_tachtsidis,4,superliga
cfr_cluj_alin_fica,4,superliga
cfr_cluj_damjan_djokovic,4,superliga
