PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
real_madrid_thibaut_courtois,real_madrid,Real Madrid,real_madrid.png,1,Thibaut Courtois,Goalkeeper,33,Belgium,€18.00m,real_madrid_thibaut_courtois.jpg,La Liga,Spania
real_madrid_andriy_lunin,real_madrid,Real Madrid,real_madrid.png,13,Andriy Lunin,Goalkeeper,26,Ukraine,€15.00m,real_madrid_andriy_lunin.jpg,La Liga,Spania
real_madrid_fran_gonzalez,real_madrid,Real Madrid,real_madrid.png,26,Fran Gonzalez,Goalkeeper,20,Spain,€1.00m,real_madrid_fran_gonzalez.jpg,La Liga,Spania
real_madrid_dean_huijsen,real_madrid,Real Madrid,real_madrid.png,24,Dean Huijsen,Centre-Back,20,Spain,€70.00m,real_madrid_dean_huijsen.jpg,La Liga,Spania
real_madrid_eder_militao,real_madrid,Real Madrid,real_madrid.png,3,Eder Militao,Centre-Back,28,Brazil,€30.00m,real_madrid_eder_militao.jpg,La Liga,Spania
real_madrid_raul_asencio,real_madrid,Real Madrid,real_madrid.png,17,Raul Asencio,Centre-Back,22,Spain,€30.00m,real_madrid_raul_asencio.jpg,La Liga,Spania
real_madrid_antonio_rudiger,real_madrid,Real Madrid,real_madrid.png,22,Antonio Rudiger,Centre-Back,32,Germany,€12.00m,real_madrid_antonio_rudiger.jpg,La Liga,Spania
real_madrid_david_alaba,real_madrid,Real Madrid,real_madrid.png,4,David Alaba,Centre-Back,33,Austria,€4.00m,real_madrid_david_alaba.jpeg,La Liga,Spania
real_madrid_alvaro_carreras,real_madrid,Real Madrid,real_madrid.png,18,Alvaro Carreras,Left-Back,22,Spain,€60.00m,real_madrid_alvaro_carreras.jpg,La Liga,Spania
real_madrid_fran_garcia,real_madrid,Real Madrid,real_madrid.png,20,Fran Garcia,Left-Back,26,Spain,€15.00m,real_madrid_fran_garcia.jpg,La Liga,Spania
real_madrid_ferland_mendy,real_madrid,Real Madrid,real_madrid.png,23,Ferland Mendy,Left-Back,30,France,€8.00m,real_madrid_ferland_mendy.jpg,La Liga,Spania
real_madrid_trent_alexander-arnold,real_madrid,Real Madrid,real_madrid.png,12,Trent Alexander-Arnold,Right-Back,27,England,€70.00m,real_madrid_trent_alexander-arnold.jpg,La Liga,Spania
real_madrid_daniel_carvajal,real_madrid,Real Madrid,real_madrid.png,2,Daniel Carvajal,Right-Back,34,Spain,€7.00m,real_madrid_daniel_carvajal.jpg,La Liga,Spania
real_madrid_aurelien_tchouameni,real_madrid,Real Madrid,real_madrid.png,14,Aurelien Tchouameni,Defensive Midfield,26,France,€75.00m,real_madrid_aurelien_tchouameni.jpg,La Liga,Spania
real_madrid_federico_valverde,real_madrid,Real Madrid,real_madrid.png,8,Federico Valverde,Central Midfield,27,Uruguay,€120.00m,real_madrid_federico_valverde.jpg,La Liga,Spania
real_madrid_eduardo_camavinga,real_madrid,Real Madrid,real_madrid.png,6,Eduardo Camavinga,Central Midfield,23,France,€50.00m,real_madrid_eduardo_camavinga.jpg,La Liga,Spania
real_madrid_dani_ceballos,real_madrid,Real Madrid,real_madrid.png,19,Dani Ceballos,Central Midfield,29,Spain,€8.00m,real_madrid_dani_ceballos.jpg,La Liga,Spania
real_madrid_jude_bellingham,real_madrid,Real Madrid,real_madrid.png,5,Jude Bellingham,Attacking Midfield,22,England,€160.00m,real_madrid_jude_bellingham.jpg,La Liga,Spania
real_madrid_arda_guler,real_madrid,Real Madrid,real_madrid.png,15,Arda Guler,Attacking Midfield,20,Türkiye,€90.00m,real_madrid_arda_guler.jpg,La Liga,Spania
real_madrid_vinicius_junior,real_madrid,Real Madrid,real_madrid.png,7,Vinicius Junior,Left Winger,25,Brazil,€150.00m,real_madrid_vinicius_junior.jpg,La Liga,Spania
real_madrid_rodrygo,real_madrid,Real Madrid,real_madrid.png,11,Rodrygo,Right Winger,25,Brazil,€60.00m,real_madrid_rodrygo.jpg,La Liga,Spania
real_madrid_franco_mastantuono,real_madrid,Real Madrid,real_madrid.png,30,Franco Mastantuono,Right Winger,18,Argentina,€50.00m,real_madrid_franco_mastantuono.jpg,La Liga,Spania
real_madrid_brahim_diaz,real_madrid,Real Madrid,real_madrid.png,21,Brahim Diaz,Right Winger,26,Morocco,€35.00m,real_madrid_brahim_diaz.jpg,La Liga,Spania
real_madrid_kylian_mbappe,real_madrid,Real Madrid,real_madrid.png,10,Kylian Mbappe,Centre-Forward,27,France,€200.00m,real_madrid_kylian_mbappe.jpg,La Liga,Spania
real_madrid_gonzalo_garcia,real_madrid,Real Madrid,real_madrid.png,16,Gonzalo Garcia,Centre-Forward,21,Spain,€15.00m,real_madrid_gonzalo_garcia.jpg,La Liga,Spania
barcelona_joan_garcia,barcelona,Barcelona,barcelona.png,13,Joan Garcia,Goalkeeper,24,Spain,€30.00m,barcelona_joan_garcia.jpg,La Liga,Spania
barcelona_wojciech_szczesny,barcelona,Barcelona,barcelona.png,25,Wojciech Szczesny,Goalkeeper,35,Poland,€900k,barcelona_wojciech_szczesny.jpg,La Liga,Spania
barcelona_pau_cubarsi,barcelona,Barcelona,barcelona.png,5,Pau Cubarsi,Centre-Back,19,Spain,€80.00m,barcelona_pau_cubarsi.jpg,La Liga,Spania
barcelona_eric_garcia,barcelona,Barcelona,barcelona.png,24,Eric Garcia,Centre-Back,25,Spain,€30.00m,barcelona_eric_garcia.jpg,La Liga,Spania
barcelona_ronald_araujo,barcelona,Barcelona,barcelona.png,4,Ronald Araujo,Centre-Back,26,Uruguay,€25.00m,barcelona_ronald_araujo.jpg,La Liga,Spania
barcelona_andreas_christensen,barcelona,Barcelona,barcelona.png,15,Andreas Christensen,Centre-Back,29,Denmark,€10.00m,barcelona_andreas_christensen.jpg,La Liga,Spania
barcelona_alejandro_balde,barcelona,Barcelona,barcelona.png,3,Alejandro Balde,Left-Back,22,Spain,€60.00m,barcelona_alejandro_balde.jpg,La Liga,Spania
barcelona_gerard_martin,barcelona,Barcelona,barcelona.png,18,Gerard Martin,Left-Back,23,Spain,€20.00m,barcelona_gerard_martin.jpg,La Liga,Spania
barcelona_jules_kounde,barcelona,Barcelona,barcelona.png,23,Jules Kounde,Right-Back,27,France,€65.00m,barcelona_jules_kounde.jpg,La Liga,Spania
barcelona_joao_cancelo,barcelona,Barcelona,barcelona.png,2,Joao Cancelo,Right-Back,31,Portugal,€10.00m,barcelona_joao_cancelo.jpg,La Liga,Spania
barcelona_marc_casado,barcelona,Barcelona,barcelona.png,17,Marc Casado,Defensive Midfield,22,Spain,€25.00m,barcelona_marc_casado.jpg,La Liga,Spania
barcelona_marc_bernal,barcelona,Barcelona,barcelona.png,22,Marc Bernal,Defensive Midfield,18,Spain,€10.00m,barcelona_marc_bernal.jpg,La Liga,Spania
barcelona_pedri,barcelona,Barcelona,barcelona.png,8,Pedri,Central Midfield,23,Spain,€140.00m,barcelona_pedri.jpg,La Liga,Spania
barcelona_frenkie_de_jong,barcelona,Barcelona,barcelona.png,21,Frenkie de Jong,Central Midfield,28,Netherlands,€45.00m,barcelona_frenkie_de_jong.jpg,La Liga,Spania
barcelona_gavi,barcelona,Barcelona,barcelona.png,6,Gavi,Central Midfield,21,Spain,€40.00m,barcelona_gavi.jpg,La Liga,Spania
barcelona_fermin_lopez,barcelona,Barcelona,barcelona.png,16,Fermin Lopez,Attacking Midfield,22,Spain,€70.00m,barcelona_fermin_lopez.jpg,La Liga,Spania
barcelona_dani_olmo,barcelona,Barcelona,barcelona.png,20,Dani Olmo,Attacking Midfield,27,Spain,€60.00m,barcelona_dani_olmo.jpg,La Liga,Spania
barcelona_raphinha,barcelona,Barcelona,barcelona.png,11,Raphinha,Left Winger,29,Brazil,€80.00m,barcelona_raphinha.png,La Liga,Spania
barcelona_marcus_rashford,barcelona,Barcelona,barcelona.png,14,Marcus Rashford,Left Winger,28,England,€40.00m,barcelona_marcus_rashford.jpg,La Liga,Spania
barcelona_lamine_yamal,barcelona,Barcelona,barcelona.png,10,Lamine Yamal,Right Winger,18,Spain,€200.00m,barcelona_lamine_yamal.jpg,La Liga,Spania
barcelona_roony_bardghji,barcelona,Barcelona,barcelona.png,19,Roony Bardghji,Right Winger,20,Sweden,€10.00m,barcelona_roony_bardghji.jpg,La Liga,Spania
barcelona_ferran_torres,barcelona,Barcelona,barcelona.png,7,Ferran Torres,Centre-Forward,25,Spain,€50.00m,barcelona_ferran_torres.jpg,La Liga,Spania
barcelona_robert_lewandowski,barcelona,Barcelona,barcelona.png,9,Robert Lewandowski,Centre-Forward,37,Poland,€9.00m,barcelona_robert_lewandowski.jpg,La Liga,Spania
atletico_madrid_jan_oblak,atletico_madrid,Atletico Madrid,atletico_madrid.png,13,Jan Oblak,Goalkeeper,33,Slovenia,€17.00m,atletico_madrid_jan_oblak.jpg,La Liga,Spania
atletico_madrid_juan_musso,atletico_madrid,Atletico Madrid,atletico_madrid.png,1,Juan Musso,Goalkeeper,31,Argentina,€3.00m,atletico_madrid_juan_musso.jpg,La Liga,Spania
atletico_madrid_david_hancko,atletico_madrid,Atletico Madrid,atletico_madrid.png,17,David Hancko,Centre-Back,28,Slovakia,€30.00m,atletico_madrid_david_hancko.jpg,La Liga,Spania
atletico_madrid_robin_le_normand,atletico_madrid,Atletico Madrid,atletico_madrid.png,24,Robin Le Normand,Centre-Back,29,Spain,€30.00m,atletico_madrid_robin_le_normand.jpg,La Liga,Spania
atletico_madrid_marc_pubill,atletico_madrid,Atletico Madrid,atletico_madrid.png,18,Marc Pubill,Centre-Back,22,Spain,€15.00m,atletico_madrid_marc_pubill.jpg,La Liga,Spania
atletico_madrid_jose_maria_gimenez,atletico_madrid,Atletico Madrid,atletico_madrid.png,2,Jose Maria Gimenez,Centre-Back,31,Uruguay,€14.00m,atletico_madrid_jose_maria_gimenez.jpg,La Liga,Spania
atletico_madrid_clement_lenglet,atletico_madrid,Atletico Madrid,atletico_madrid.png,15,Clement Lenglet,Centre-Back,30,France,€6.00m,atletico_madrid_clement_lenglet.jpg,La Liga,Spania
atletico_madrid_matteo_ruggeri,atletico_madrid,Atletico Madrid,atletico_madrid.png,3,Matteo Ruggeri,Left-Back,23,Italy,€15.00m,atletico_madrid_matteo_ruggeri.jpg,La Liga,Spania
atletico_madrid_marcos_llorente,atletico_madrid,Atletico Madrid,atletico_madrid.png,14,Marcos Llorente,Right-Back,30,Spain,€22.00m,atletico_madrid_marcos_llorente.jpg,La Liga,Spania
atletico_madrid_nahuel_molina,atletico_madrid,Atletico Madrid,atletico_madrid.png,16,Nahuel Molina,Right-Back,27,Argentina,€15.00m,atletico_madrid_nahuel_molina.jpg,La Liga,Spania
atletico_madrid_johnny_cardoso,atletico_madrid,Atletico Madrid,atletico_madrid.png,5,Johnny Cardoso,Defensive Midfield,24,United States,€22.00m,atletico_madrid_johnny_cardoso.jpg,La Liga,Spania
atletico_madrid_pablo_barrios,atletico_madrid,Atletico Madrid,atletico_madrid.png,8,Pablo Barrios,Central Midfield,22,Spain,€60.00m,atletico_madrid_pablo_barrios.jpg,La Liga,Spania
atletico_madrid_koke,atletico_madrid,Atletico Madrid,atletico_madrid.png,6,Koke,Central Midfield,34,Spain,€7.00m,atletico_madrid_koke.jpg,La Liga,Spania
atletico_madrid_alex_baena,atletico_madrid,Atletico Madrid,atletico_madrid.png,10,Alex Baena,Left Winger,24,Spain,€55.00m,atletico_madrid_alex_baena.jpg,La Liga,Spania
atletico_madrid_nico_gonzalez,atletico_madrid,Atletico Madrid,atletico_madrid.png,23,Nico Gonzalez,Left Winger,27,Argentina,€24.00m,atletico_madrid_nico_gonzalez.jpg,La Liga,Spania
atletico_madrid_thiago_almada,atletico_madrid,Atletico Madrid,atletico_madrid.png,11,Thiago Almada,Left Winger,24,Argentina,€20.00m,atletico_madrid_thiago_almada.jpg,La Liga,Spania
