Echipa,Link,Liga,Tara
FCSB,https://www.transfermarkt.com/fcsb/startseite/verein/301/saison_id/2025,Superliga,Romania
FC Rapid,https://www.transfermarkt.com/fc-rapid-1923/startseite/verein/455/saison_id/2025,Superliga,Romania
CS Universitatea Craiova,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812/saison_id/2025,Superliga,Romania
FCV Farul Constanta,https://www.transfermarkt.com/fc-viitorul-constanta/startseite/verein/29831/saison_id/2025,Superliga,Romania
CFR Cluj,https://www.transfermarkt.com/cfr-cluj/startseite/verein/7769/saison_id/2025,Superliga,Romania
UTA Arad,https://www.transfermarkt.com/uta-arad/startseite/verein/952/saison_id/2025,Superliga,Romania
SC Otelul Galati,https://www.transfermarkt.com/sc-otelul-galati/startseite/verein/4959/saison_id/2025,Superliga,Romania
FC Hermannstadt,https://www.transfermarkt.com/fc-hermannstadt/startseite/verein/58049/saison_id/2025,Superliga,Romania
FC Universitatea Cluj,https://www.transfermarkt.com/fc-universitatea-cluj/startseite/verein/6429/saison_id/2025,Superliga,Romania
Petrolul Ploiesti,https://www.transfermarkt.com/petrolul-ploiesti/startseite/verein/9465/saison_id/2025,Superliga,Romania
AFK Csikszereda Miercurea Ciuc,https://www.transfermarkt.com/afk-csikszereda-miercurea-ciuc/startseite/verein/37255/saison_id/2025,Superliga,Romania
FC Dinamo 1948,https://www.transfermarkt.com/fc-dinamo/startseite/verein/312/saison_id/2025,Superliga,Romania
ACSC FC Arges,https://www.transfermarkt.com/acsc-fc-arges/startseite/verein/41278/saison_id/2025,Superliga,Romania
FC Botosani,https://www.transfermarkt.com/fc-botosani/startseite/verein/8818/saison_id/2025,Superliga,Romania
FC Metaloglobus Bucharest,https://www.transfermarkt.com/fc-metaloglobus-bukarest/startseite/verein/37624/saison_id/2025,Superliga,Romania
AFC Unirea 04 Slobozia,https://www.transfermarkt.com/afc-unirea-04-slobozia/startseite/verein/29700/saison_id/2025,Superliga,Romania
