PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
psg_lucas_chevalier,psg,PSG,psg.png,30,Lucas Chevalier,Goalkeeper,24,France,€35.00m,psg_lucas_chevalier.jpg,Ligue 1,Franta
psg_matvey_safonov,psg,PSG,psg.png,39,Matvey Safonov,Goalkeeper,26,Russia,€15.00m,psg_matvey_safonov.jpg,Ligue 1,Franta
psg_renato_marin,psg,PSG,psg.png,89,Renato Marin,Goalkeeper,19,Italy,€500k,psg_renato_marin.jpg,Ligue 1,Franta
psg_willian_pacho,psg,PSG,psg.png,51,Willian Pacho,Centre-Back,24,Ecuador,€70.00m,psg_willian_pacho.jpg,Ligue 1,Franta
psg_ilya_zabarnyi,psg,PSG,psg.png,6,Ilya Zabarnyi,Centre-Back,23,Ukraine,€50.00m,psg_ilya_zabarnyi.jpg,Ligue 1,Franta
psg_marquinhos,psg,PSG,psg.png,5,Marquinhos,Centre-Back,31,Brazil,€30.00m,psg_marquinhos.jpg,Ligue 1,Franta
psg_lucas_beraldo,psg,PSG,psg.png,4,Lucas Beraldo,Centre-Back,22,Brazil,€20.00m,psg_lucas_beraldo.jpg,Ligue 1,Franta
psg_noham_kamara,psg,PSG,psg.png,43,Noham Kamara,Centre-Back,19,France,€1.00m,psg_noham_kamara.jpg,Ligue 1,Franta
psg_nuno_mendes,psg,PSG,psg.png,25,Nuno Mendes,Left-Back,23,Portugal,€75.00m,psg_nuno_mendes.jpg,Ligue 1,Franta
psg_lucas_hernandez,psg,PSG,psg.png,21,Lucas Hernandez,Left-Back,29,France,€20.00m,psg_lucas_hernandez.jpg,Ligue 1,Franta
psg_achraf_hakimi,psg,PSG,psg.png,2,Achraf Hakimi,Right-Back,27,Morocco,€80.00m,psg_achraf_hakimi.jpg,Ligue 1,Franta
psg_vitinha,psg,PSG,psg.png,17,Vitinha,Defensive Midfield,25,Portugal,€110.00m,psg_vitinha.jpg,Ligue 1,Franta
psg_joao_neves,psg,PSG,psg.png,87,Joao Neves,Central Midfield,21,Portugal,€110.00m,psg_joao_neves.jpg,Ligue 1,Franta
