Team,Number,Name,Position,Age,Nationality,Market Value
FCSB,32,Stefan Tarnovanu,Goalkeeper,"May 9, 2000 (24)",Romania,€3.50m
FCSB,38,Lukas Zima,Goalkeeper,"Jan 9, 1994 (31)",Czech Republic,€1.00m
FCSB,1,Mihai Udrea,Goalkeeper,"Jul 20, 2001 (23)",Romania,€100k
FCSB,30,Siyabonga Ngezana,Centre-Back,"Jul 15, 1997 (27)",South Africa,€2.20m
FCSB,5,Joyskim Dawa,Centre-Back,"Apr 9, 1996 (28)",Cameroon,€2.00m
FCSB,17,Mihai Popescu,Centre-Back,"May 7, 1993 (31)",Romania,€900k
FCSB,21,Vlad Chiriches,Centre-Back,"Nov 14, 1989 (35)",Romania,€300k
FCSB,33,Risto Radunovic,Left-Back,"May 4, 1992 (32)",Montenegro,€1.20m
FCSB,12,David Kiki,Left-Back,"Nov 25, 1993 (31)",Benin,€500k
FCSB,3,Ionut Pantiru,Left-Back,"Mar 22, 1996 (28)",Romania,€400k
FCSB,28,Alexandru Pantea,Right-Back,"Sep 11, 2003 (21)",Romania,€800k
FCSB,2,Valentin Cretu,Right-Back,"Jan 2, 1989 (36)",Romania,€175k
FCSB,8,Adrian Sut,Defensive Midfield,"Apr 30, 1999 (25)",Romania,€2.80m
FCSB,16,Mihai Lixandru,Central Midfield,"Jun 5, 2001 (23)",Romania,€1.20m
FCSB,42,Baba Alhassan,Central Midfield,"Jan 3, 2000 (25)",Ghana,€900k
FCSB,31,Juri Cisotti,Central Midfield,"May 5, 1993 (31)",Italy,€750k
FCSB,18,Malcom Edjouma,Central Midfield,"Oct 8, 1996 (28)",Morocco,€700k
FCSB,27,Darius Olaru,Attacking Midfield,"Mar 3, 1998 (26)",Romania,€7.50m
FCSB,7,Florin Tanase,Attacking Midfield,"Dec 30, 1994 (30)",Romania,€2.20m
FCSB,10,Octavian Popescu,Left Winger,"Dec 27, 2002 (22)",Romania,€1.40m
FCSB,29,Alexandru Musi,Left Winger,"Jul 17, 2004 (20)",Romania,€900k
FCSB,22,Mihai Toma,Left Winger,"Feb 17, 2007 (17)",Romania,€250k
