PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
manchester_city_gianluigi_donnarumma,manchester_city,Manchester City,manchester_city.png,25,Gianluigi Donnarumma,Goalkeeper,26,Italy,€45.00m,manchester_city_gianluigi_donnarumma.jpg,Premier League,Anglia
manchester_city_james_trafford,manchester_city,Manchester City,manchester_city.png,1,James Trafford,Goalkeeper,23,England,€25.00m,manchester_city_james_trafford.jpg,Premier League,Anglia
manchester_city_stefan_ortega,manchester_city,Manchester City,manchester_city.png,18,Stefan Ortega,Goalkeeper,33,Germany,€5.00m,manchester_city_stefan_ortega.jpg,Premier League,Anglia
manchester_city_marcus_bettinelli,manchester_city,Manchester City,manchester_city.png,13,Marcus Bettinelli,Goalkeeper,33,England,€500k,manchester_city_marcus_bettinelli.jpg,Premier League,Anglia
manchester_city_josko_gvardiol,manchester_city,Manchester City,manchester_city.png,24,Josko Gvardiol,Centre-Back,24,Croatia,€70.00m,manchester_city_josko_gvardiol.jpg,Premier League,Anglia
manchester_city_ruben_dias,manchester_city,Manchester City,manchester_city.png,3,Ruben Dias,Centre-Back,28,Portugal,€60.00m,manchester_city_ruben_dias.jpg,Premier League,Anglia
manchester_city_marc_guehi,manchester_city,Manchester City,manchester_city.png,15,Marc Guehi,Centre-Back,25,England,€55.00m,manchester_city_marc_guehi.jpg,Premier League,Anglia
manchester_city_abdukodir_khusanov,manchester_city,Manchester City,manchester_city.png,45,Abdukodir Khusanov,Centre-Back,21,Uzbekistan,€35.00m,manchester_city_abdukodir_khusanov.jpg,Premier League,Anglia
manchester_city_john_stones,manchester_city,Manchester City,manchester_city.png,5,John Stones,Centre-Back,31,England,€18.00m,manchester_city_john_stones.jpg,Premier League,Anglia
manchester_city_nathan_ake,manchester_city,Manchester City,manchester_city.png,6,Nathan Ake,Centre-Back,30,Netherlands,€18.00m,manchester_city_nathan_ake.jpg,Premier League,Anglia
manchester_city_max_alleyne,manchester_city,Manchester City,manchester_city.png,68,Max Alleyne,Centre-Back,20,England,€800k,manchester_city_max_alleyne.jpg,Premier League,Anglia
manchester_city_rayan_ait-nouri,manchester_city,Manchester City,manchester_city.png,21,Rayan Ait-Nouri,Left-Back,24,Algeria,€40.00m,manchester_city_rayan_ait-nouri.jpg,Premier League,Anglia
manchester_city_nico_o'reilly,manchester_city,Manchester City,manchester_city.png,33,Nico O'Reilly,Left-Back,20,England,€40.00m,manchester_city_nico_o'reilly.jpg,Premier League,Anglia
manchester_city_matheus_nunes,manchester_city,Manchester City,manchester_city.png,27,Matheus Nunes,Right-Back,27,Portugal,€38.00m,manchester_city_matheus_nunes.jpg,Premier League,Anglia
manchester_city_rico_lewis,manchester_city,Manchester City,manchester_city.png,82,Rico Lewis,Right-Back,21,England,€35.00m,manchester_city_rico_lewis.jpg,Premier League,Anglia
manchester_city_rodri,manchester_city,Manchester City,manchester_city.png,16,Rodri,Defensive Midfield,29,Spain,€75.00m,manchester_city_rodri.jpg,Premier League,Anglia
manchester_city_nico_gonzalez,manchester_city,Manchester City,manchester_city.png,14,Nico Gonzalez,Defensive Midfield,24,Spain,€45.00m,manchester_city_nico_gonzalez.jpg,Premier League,Anglia
manchester_city_kalvin_phillips,manchester_city,Manchester City,manchester_city.png,44,Kalvin Phillips,Defensive Midfield,30,England,€6.00m,manchester_city_kalvin_phillips.jpg,Premier League,Anglia
manchester_city_tijjani_reijnders,manchester_city,Manchester City,manchester_city.png,4,Tijjani Reijnders,Central Midfield,27,Netherlands,€65.00m,manchester_city_tijjani_reijnders.jpg,Premier League,Anglia
manchester_city_mateo_kovacic,manchester_city,Manchester City,manchester_city.png,8,Mateo Kovacic,Central Midfield,31,Croatia,€15.00m,manchester_city_mateo_kovacic.jpg,Premier League,Anglia
manchester_city_phil_foden,manchester_city,Manchester City,manchester_city.png,47,Phil Foden,Attacking Midfield,25,England,€80.00m,manchester_city_phil_foden.jpg,Premier League,Anglia
manchester_city_rayan_cherki,manchester_city,Manchester City,manchester_city.png,10,Rayan Cherki,Attacking Midfield,22,France,€50.00m,manchester_city_rayan_cherki.jpg,Premier League,Anglia
manchester_city_bernardo_silva,manchester_city,Manchester City,manchester_city.png,20,Bernardo Silva,Attacking Midfield,31,Portugal,€27.00m,manchester_city_bernardo_silva.jpg,Premier League,Anglia
manchester_city_jeremy_doku,manchester_city,Manchester City,manchester_city.png,11,Jeremy Doku,Left Winger,23,Belgium,€65.00m,manchester_city_jeremy_doku.jpg,Premier League,Anglia
