PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
ac_milan_mike_maignan,ac_milan,AC Milan,ac_milan.png,16,Mike Maignan,Goalkeeper,30,France,€25.00m,ac_milan_mike_maignan.jpg,Seria A,Italia
ac_milan_pietro_terracciano,ac_milan,AC Milan,ac_milan.png,1,Pietro Terracciano,Goalkeeper,35,Italy,€1.00m,ac_milan_pietro_terracciano.jpg,Seria A,Italia
ac_milan_lorenzo_torriani,ac_milan,AC Milan,ac_milan.png,96,Lorenzo Torriani,Goalkeeper,20,Italy,€500k,ac_milan_lorenzo_torriani.jpg,Seria A,Italia
ac_milan_strahinja_pavlovic,ac_milan,AC Milan,ac_milan.png,31,Strahinja Pavlovic,Centre-Back,24,Serbia,€28.00m,ac_milan_strahinja_pavlovic.jpg,Seria A,Italia
ac_milan_koni_de_winter,ac_milan,AC Milan,ac_milan.png,5,Koni De Winter,Centre-Back,23,Belgium,€20.00m,ac_milan_koni_de_winter.jpg,Seria A,Italia
ac_milan_fikayo_tomori,ac_milan,AC Milan,ac_milan.png,23,Fikayo Tomori,Centre-Back,28,England,€20.00m,ac_milan_fikayo_tomori.jpg,Seria A,Italia
ac_milan_matteo_gabbia,ac_milan,AC Milan,ac_milan.png,46,Matteo Gabbia,Centre-Back,26,Italy,€20.00m,ac_milan_matteo_gabbia.jpg,Seria A,Italia
ac_milan_david_odogu,ac_milan,AC Milan,ac_milan.png,27,David Odogu,Centre-Back,19,Germany,€5.00m,ac_milan_david_odogu.jpg,Seria A,Italia
ac_milan_davide_bartesaghi,ac_milan,AC Milan,ac_milan.png,33,Davide Bartesaghi,Left-Back,20,Italy,€18.00m,ac_milan_davide_bartesaghi.jpg,Seria A,Italia
ac_milan_pervis_estupinan,ac_milan,AC Milan,ac_milan.png,2,Pervis Estupinan,Left-Back,28,Ecuador,€14.00m,ac_milan_pervis_estupinan.jpg,Seria A,Italia
ac_milan_zachary_athekame,ac_milan,AC Milan,ac_milan.png,24,Zachary Athekame,Right-Back,21,Switzerland,€8.00m,ac_milan_zachary_athekame.jpg,Seria A,Italia
ac_milan_ardon_jashari,ac_milan,AC Milan,ac_milan.png,30,Ardon Jashari,Defensive Midfield,23,Switzerland,€32.00m,ac_milan_ardon_jashari.jpg,Seria A,Italia
ac_milan_youssouf_fofana,ac_milan,AC Milan,ac_milan.png,19,Youssouf Fofana,Defensive Midfield,27,France,€28.00m,ac_milan_youssouf_fofana.jpg,Seria A,Italia
ac_milan_samuele_ricci,ac_milan,AC Milan,ac_milan.png,4,Samuele Ricci,Defensive Midfield,24,Italy,€25.00m,ac_milan_samuele_ricci.jpg,Seria A,Italia
ac_milan_adrien_rabiot,ac_milan,AC Milan,ac_milan.png,12,Adrien Rabiot,Central Midfield,30,France,€20.00m,ac_milan_adrien_rabiot.jpg,Seria A,Italia
ac_milan_ruben_loftus-cheek,ac_milan,AC Milan,ac_milan.png,8,Ruben Loftus-Cheek,Central Midfield,30,England,€10.00m,ac_milan_ruben_loftus-cheek.jpg,Seria A,Italia
ac_milan_luka_modric,ac_milan,AC Milan,ac_milan.png,14,Luka Modric,Central Midfield,40,Croatia,€4.00m,ac_milan_luka_modric.jpg,Seria A,Italia
ac_milan_alexis_saelemaekers,ac_milan,AC Milan,ac_milan.png,56,Alexis Saelemaekers,Right Midfield,26,Belgium,€25.00m,ac_milan_alexis_saelemaekers.jpg,Seria A,Italia
ac_milan_rafael_leao,ac_milan,AC Milan,ac_milan.png,10,Rafael Leao,Left Winger,26,Portugal,€70.00m,ac_milan_rafael_leao.jpg,Seria A,Italia
ac_milan_christian_pulisic,ac_milan,AC Milan,ac_milan.png,11,Christian Pulisic,Right Winger,27,United States,€60.00m,ac_milan_christian_pulisic.jpg,Seria A,Italia
ac_milan_christopher_nkunku,ac_milan,AC Milan,ac_milan.png,18,Christopher Nkunku,Centre-Forward,28,France,€32.00m,ac_milan_christopher_nkunku.jpg,Seria A,Italia
ac_milan_santiago_gimenez,ac_milan,AC Milan,ac_milan.png,7,Santiago Gimenez,Centre-Forward,24,Mexico,€20.00m,ac_milan_santiago_gimenez.jpg,Seria A,Italia
