team,link
FCSB,https://www.transfermarkt.com/fcsb/startseite/verein/301/saison_id/2024
FC Rapid 1923,https://www.transfermarkt.com/fc-rapid-1923/startseite/verein/455/saison_id/2024
CS Universitatea Craiova,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812/saison_id/2024
CFR Cluj,https://www.transfermarkt.com/cfr-cluj/startseite/verein/7769/saison_id/2024
FC Universitatea Cluj,https://www.transfermarkt.com/fc-universitatea-cluj/startseite/verein/6429/saison_id/2024
Sepsi OSK Sf. Gheorghe,https://www.transfermarkt.com/sepsi-osk-sf-gheorghe/startseite/verein/54585/saison_id/2024
FC Dinamo 1948,https://www.transfermarkt.com/fc-dinamo/startseite/verein/312/saison_id/2024
FCV Farul Constanta,https://www.transfermarkt.com/fc-viitorul-constanta/startseite/verein/29831/saison_id/2024
Petrolul Ploiesti,https://www.transfermarkt.com/petrolul-ploiesti/startseite/verein/9465/saison_id/2024
FC Hermannstadt,https://www.transfermarkt.com/fc-hermannstadt/startseite/verein/58049/saison_id/2024
SC Otelul Galati,https://www.transfermarkt.com/sc-otelul-galati/startseite/verein/4959/saison_id/2024
FC Botosani,https://www.transfermarkt.com/fc-botosani/startseite/verein/8818/saison_id/2024
ACSM Politehnica Iasi,https://www.transfermarkt.com/acsm-politehnica-iasi/startseite/verein/33966/saison_id/2024
FC Buzău,https://www.transfermarkt.com/scm-gloria-buzau/startseite/verein/11380/saison_id/2024
UTA Arad,https://www.transfermarkt.com/uta-arad/startseite/verein/952/saison_id/2024
AFC Unirea 04 Slobozia,https://www.transfermarkt.com/afc-unirea-04-slobozia/startseite/verein/29700/saison_id/2024
