PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country
fcsb_stefan_tarnovanu,fcsb,FCSB,fcsb.png,32,Stefan Tarnovanu,Goalkeeper,09/05/2000 (25),Romania,€4.50m,fcsb_stefan_tarnovanu.png,Superliga,Romania
fcsb_lukas_zima,fcsb,FCSB,fcsb.png,38,Lukas Zima,Goalkeeper,09/01/1994 (32),Czech Republic,€850k,fcsb_lukas_zima.png,Superliga,Romania
fcsb_mihai_udrea,fcsb,FCSB,fcsb.png,34,Mihai Udrea,Goalkeeper,20/07/2001 (24),Romania,€50k,fcsb_mihai_udrea.png,Superliga,Romania
fcsb_siyabonga_ngezana,fcsb,FCSB,fcsb.png,30,Siyabonga Ngezana,Centre-Back,15/07/1997 (28),South Africa,€3.00m,fcsb_siyabonga_ngezana.png,Superliga,Romania
fcsb_joyskim_dawa,fcsb,FCSB,fcsb.png,5,Joyskim Dawa,Centre-Back,09/04/1996 (29),Cameroon,€2.50m,fcsb_joyskim_dawa.png,Superliga,Romania
fcsb_andre_duarte,fcsb,FCSB,fcsb.png,3,Andre Duarte,Centre-Back,12/09/1997 (28),Portugal,€800k,fcsb_andre_duarte.jpg,Superliga,Romania
fcsb_mihai_popescu,fcsb,FCSB,fcsb.png,17,Mihai Popescu,Centre-Back,07/05/1993 (32),Romania,€800k,fcsb_mihai_popescu.png,Superliga,Romania
fcsb_daniel_graovac,fcsb,FCSB,fcsb.png,4,Daniel Graovac,Centre-Back,08/08/1993 (32),Bosnia-Herzegovina,€450k,fcsb_daniel_graovac.png,Superliga,Romania
fcsb_andrei_dancus,fcsb,FCSB,fcsb.png,6,Andrei Dancus,Centre-Back,20/01/2009 (17),Romania,-,fcsb_andrei_dancus.png,Superliga,Romania
fcsb_risto_radunovic,fcsb,FCSB,fcsb.png,33,Risto Radunovic,Left-Back,04/05/1992 (33),Montenegro,€800k,fcsb_risto_radunovic.png,Superliga,Romania
fcsb_david_kiki,fcsb,FCSB,fcsb.png,12,David Kiki,Left-Back,25/11/1993 (32),Benin,€400k,fcsb_david_kiki.png,Superliga,Romania
fcsb_alexandru_pantea,fcsb,FCSB,fcsb.png,28,Alexandru Pantea,Right-Back,11/09/2003 (22),Romania,€850k,fcsb_alexandru_pantea.png,Superliga,Romania
fcsb_ionut_cercel,fcsb,FCSB,fcsb.png,23,Ionut Cercel,Right-Back,14/11/2006 (19),Romania,€500k,fcsb_ionut_cercel.png,Superliga,Romania
fcsb_valentin_cretu,fcsb,FCSB,fcsb.png,2,Valentin Cretu,Right-Back,02/01/1989 (37),Romania,€150k,fcsb_valentin_cretu.png,Superliga,Romania
fcsb_ofri_arad,fcsb,FCSB,fcsb.png,15,Ofri Arad,Defensive Midfield,11/09/1998 (27),Israel,€1.20m,fcsb_ofri_arad.png,Superliga,Romania
fcsb_baba_alhassan,fcsb,FCSB,fcsb.png,42,Baba Alhassan,Defensive Midfield,03/01/2000 (26),Uganda,€900k,fcsb_baba_alhassan.png,Superliga,Romania
fcsb_vlad_chiriches,fcsb,FCSB,fcsb.png,21,Vlad Chiriches,Defensive Midfield,14/11/1989 (36),Romania,€250k,fcsb_vlad_chiriches.png,Superliga,Romania
fcsb_mihai_lixandru,fcsb,FCSB,fcsb.png,16,Mihai Lixandru,Central Midfield,05/06/2001 (24),Romania,€1.00m,fcsb_mihai_lixandru.png,Superliga,Romania
fcsb_juri_cisotti,fcsb,FCSB,fcsb.png,31,Juri Cisotti,Central Midfield,05/05/1993 (32),Italy,€800k,fcsb_juri_cisotti.png,Superliga,Romania
fcsb_darius_olaru,fcsb,FCSB,fcsb.png,27,Darius Olaru,Attacking Midfield,03/03/1998 (27),Romania,€6.50m,fcsb_darius_olaru.png,Superliga,Romania
fcsb_florin_tanase,fcsb,FCSB,fcsb.png,10,Florin Tanase,Attacking Midfield,30/12/1994 (31),Romania,€2.30m,fcsb_florin_tanase.png,Superliga,Romania
fcsb_dennis_politic,fcsb,FCSB,fcsb.png,20,Dennis Politic,Left Winger,05/03/2000 (25),Romania,€1.20m,fcsb_dennis_politic.png,Superliga,Romania
fcsb_octavian_popescu,fcsb,FCSB,fcsb.png,37,Octavian Popescu,Left Winger,27/12/2002 (23),Romania,€850k,fcsb_octavian_popescu.png,Superliga,Romania
fcsb_mihai_toma,fcsb,FCSB,fcsb.png,22,Mihai Toma,Left Winger,17/02/2007 (18),Romania,€500k,fcsb_mihai_toma.png,Superliga,Romania
fcsb_david_miculescu,fcsb,FCSB,fcsb.png,11,David Miculescu,Right Winger,02/05/2001 (24),Romania,€2.50m,fcsb_david_miculescu.png,Superliga,Romania
fcsb_david_popa,fcsb,FCSB,fcsb.png,98,David Popa,Right Winger,13/03/2007 (18),Romania,€50k,fcsb_david_popa.png,Superliga,Romania
fcsb_daniel_birligea,fcsb,FCSB,fcsb.png,9,Daniel Birligea,Centre-Forward,19/04/2000 (25),Romania,€4.50m,fcsb_daniel_birligea.png,Superliga,Romania
fcsb_mamadou_thiam,fcsb,FCSB,fcsb.png,93,Mamadou Thiam,Centre-Forward,20/03/1995 (30),Senegal,€900k,fcsb_mamadou_thiam.png,Superliga,Romania
fcsb_alexandru_stoian,fcsb,FCSB,fcsb.png,90,Alexandru Stoian,Centre-Forward,15/12/2007 (18),Romania,€650k,fcsb_alexandru_stoian.png,Superliga,Romania
fcsb_denis_alibec,fcsb,FCSB,fcsb.png,7,Denis Alibec,Centre-Forward,05/01/1991 (35),Romania,€500k,fcsb_denis_alibec.png,Superliga,Romania
fc_rapid_marian_aioani,fc_rapid,FC Rapid,fc_rapid.png,16,Marian Aioani,Goalkeeper,07/11/1999 (26),Romania,€1.30m,fc_rapid_marian_aioani.png,Superliga,Romania
fc_rapid_dejan_iliev,fc_rapid,FC Rapid,fc_rapid.png,1,Dejan Iliev,Goalkeeper,25/02/1995 (30),North Macedonia,€450k,fc_rapid_dejan_iliev.png,Superliga,Romania
fc_rapid_adrian_briciu,fc_rapid,FC Rapid,fc_rapid.png,31,Adrian Briciu,Goalkeeper,05/06/2007 (18),Romania,-,fc_rapid_adrian_briciu.jpg,Superliga,Romania
fc_rapid_lars_kramer,fc_rapid,FC Rapid,fc_rapid.png,6,Lars Kramer,Centre-Back,11/07/1999 (26),Netherlands,€1.50m,fc_rapid_lars_kramer.png,Superliga,Romania
fc_rapid_leo_bolgado,fc_rapid,FC Rapid,fc_rapid.png,4,Leo Bolgado,Centre-Back,20/08/1998 (27),Brazil,€1.40m,fc_rapid_leo_bolgado.png,Superliga,Romania
fc_rapid_alexandru_pascanu,fc_rapid,FC Rapid,fc_rapid.png,5,Alexandru Pascanu,Centre-Back,28/09/1998 (27),Romania,€1.30m,fc_rapid_alexandru_pascanu.png,Superliga,Romania
fc_rapid_denis_ciobotariu,fc_rapid,FC Rapid,fc_rapid.png,13,Denis Ciobotariu,Centre-Back,10/06/1998 (27),Romania,€1.30m,fc_rapid_denis_ciobotariu.png,Superliga,Romania
fc_rapid_andrei_borza,fc_rapid,FC Rapid,fc_rapid.png,24,Andrei Borza,Left-Back,12/11/2005 (20),Romania,€2.50m,fc_rapid_andrei_borza.png,Superliga,Romania
fc_rapid_robert_salceanu,fc_rapid,FC Rapid,fc_rapid.png,21,Robert Salceanu,Left-Back,13/01/2004 (22),Romania,€300k,fc_rapid_robert_salceanu.png,Superliga,Romania
fc_rapid_cristian_manea,fc_rapid,FC Rapid,fc_rapid.png,23,Cristian Manea,Right-Back,09/08/1997 (28),Romania,€1.50m,fc_rapid_cristian_manea.png,Superliga,Romania
fc_rapid_razvan_onea,fc_rapid,FC Rapid,fc_rapid.png,19,Razvan Onea,Right-Back,19/05/1998 (27),Romania,€700k,fc_rapid_razvan_onea.png,Superliga,Romania
fc_rapid_kader_keita,fc_rapid,FC Rapid,fc_rapid.png,18,Kader Keita,Defensive Midfield,06/11/2000 (25),Cote d'Ivoire,€1.70m,fc_rapid_kader_keita.png,Superliga,Romania
fc_rapid_catalin_vulturar,fc_rapid,FC Rapid,fc_rapid.png,15,Catalin Vulturar,Defensive Midfield,09/03/2004 (21),Romania,€550k,fc_rapid_catalin_vulturar.png,Superliga,Romania
fc_rapid_jakub_hromada,fc_rapid,FC Rapid,fc_rapid.png,14,Jakub Hromada,Defensive Midfield,25/05/1996 (29),Slovakia,€500k,fc_rapid_jakub_hromada.png,Superliga,Romania
fc_rapid_diogo_mendes,fc_rapid,FC Rapid,fc_rapid.png,66,Diogo Mendes,Defensive Midfield,24/01/1998 (28),Cape Verde,€50k,fc_rapid_diogo_mendes.jpg,Superliga,Romania
fc_rapid_tobias_christensen,fc_rapid,FC Rapid,fc_rapid.png,17,Tobias Christensen,Central Midfield,11/05/2000 (25),Norway,€2.30m,fc_rapid_tobias_christensen.png,Superliga,Romania
fc_rapid_constantin_grameni,fc_rapid,FC Rapid,fc_rapid.png,8,Constantin Grameni,Central Midfield,23/10/2002 (23),Romania,€1.00m,fc_rapid_constantin_grameni.png,Superliga,Romania
fc_rapid_gabriel_gheorghe,fc_rapid,FC Rapid,fc_rapid.png,98,Gabriel Gheorghe,Attacking Midfield,12/10/2006 (19),Romania,€50k,fc_rapid_gabriel_gheorghe.png,Superliga,Romania
fc_rapid_claudiu_petrila,fc_rapid,FC Rapid,fc_rapid.png,10,Claudiu Petrila,Left Winger,07/11/2000 (25),Romania,€2.50m,fc_rapid_claudiu_petrila.png,Superliga,Romania
fc_rapid_alexandru_dobre,fc_rapid,FC Rapid,fc_rapid.png,29,Alexandru Dobre,Right Winger,30/08/1998 (27),Romania,€2.80m,fc_rapid_alexandru_dobre.png,Superliga,Romania
fc_rapid_olimpiu_morutan,fc_rapid,FC Rapid,fc_rapid.png,80,Olimpiu Morutan,Right Winger,25/04/1999 (26),Romania,€2.00m,fc_rapid_olimpiu_morutan.png,Superliga,Romania
fc_rapid_drilon_hazrollaj,fc_rapid,FC Rapid,fc_rapid.png,27,Drilon Hazrollaj,Right Winger,19/02/2004 (21),Kosovo,€700k,fc_rapid_drilon_hazrollaj.png,Superliga,Romania
fc_rapid_daniel_paraschiv,fc_rapid,FC Rapid,fc_rapid.png,30,Daniel Paraschiv,Centre-Forward,24/04/1999 (26),Romania,€800k,fc_rapid_daniel_paraschiv.png,Superliga,Romania
fc_rapid_elvir_koljic,fc_rapid,FC Rapid,fc_rapid.png,7,Elvir Koljic,Centre-Forward,08/07/1995 (30),Bosnia-Herzegovina,€700k,fc_rapid_elvir_koljic.png,Superliga,Romania
fc_rapid_borisav_burmaz,fc_rapid,FC Rapid,fc_rapid.png,11,Borisav Burmaz,Centre-Forward,21/04/2001 (24),Serbia,€700k,fc_rapid_borisav_burmaz.png,Superliga,Romania
fc_rapid_antoine_baroan,fc_rapid,FC Rapid,fc_rapid.png,90,Antoine Baroan,Centre-Forward,24/06/2000 (25),France,€600k,fc_rapid_antoine_baroan.png,Superliga,Romania
fc_rapid_timotej_jambor,fc_rapid,FC Rapid,fc_rapid.png,9,Timotej Jambor,Centre-Forward,04/04/2003 (22),Slovakia,€400k,fc_rapid_timotej_jambor.png,Superliga,Romania
cs_universitatea_craiova_pavlo_isenko,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,77,Pavlo Isenko,Goalkeeper,21/07/2003 (22),Ukraine,€1.30m,cs_universitatea_craiova_pavlo_isenko.jpg,Superliga,Romania
cs_universitatea_craiova_laurentiu_popescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,21,Laurentiu Popescu,Goalkeeper,18/01/1997 (29),Romania,€850k,cs_universitatea_craiova_laurentiu_popescu.png,Superliga,Romania
cs_universitatea_craiova_silviu_lung_jr.,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,1,Silviu Lung Jr.,Goalkeeper,04/06/1989 (36),Romania,€100k,cs_universitatea_craiova_silviu_lung_jr..png,Superliga,Romania
cs_universitatea_craiova_vladimir_screciu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,6,Vladimir Screciu,Centre-Back,13/01/2000 (26),Romania,€2.00m,cs_universitatea_craiova_vladimir_screciu.png,Superliga,Romania
cs_universitatea_craiova_oleksandr_romanchuk,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,3,Oleksandr Romanchuk,Centre-Back,16/12/1999 (26),Ukraine,€1.70m,cs_universitatea_craiova_oleksandr_romanchuk.png,Superliga,Romania
cs_universitatea_craiova_adrian_rus,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,28,Adrian Rus,Centre-Back,18/03/1996 (29),Romania,€1.20m,cs_universitatea_craiova_adrian_rus.png,Superliga,Romania
cs_universitatea_craiova_juraj_badelj,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,15,Juraj Badelj,Centre-Back,24/08/2003 (22),Croatia,€1.00m,cs_universitatea_craiova_juraj_badelj.png,Superliga,Romania
cs_universitatea_craiova_nikola_stevanovic,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,24,Nikola Stevanovic,Centre-Back,13/09/1998 (27),Serbia,€750k,cs_universitatea_craiova_nikola_stevanovic.png,Superliga,Romania
cs_universitatea_craiova_vasile_mogos,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,19,Vasile Mogos,Centre-Back,31/10/1992 (33),Romania,€600k,cs_universitatea_craiova_vasile_mogos.png,Superliga,Romania
