PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image
fcsb_stefan_tarnovanu,fcsb,FCSB,fcsb.png,32,Stefan Tarnovanu,Goalkeeper,"May 9, 2000 (24)",Romania,€3.50m,fcsb_stefan_tarnovanu.png
fcsb_lukas_zima,fcsb,FCSB,fcsb.png,38,Lukas Zima,Goalkeeper,"Jan 9, 1994 (31)",Czech Republic,€1.00m,fcsb_lukas_zima.png
fcsb_mihai_udrea,fcsb,FCSB,fcsb.png,1,Mihai Udrea,Goalkeeper,"Jul 20, 2001 (23)",Romania,€100k,fcsb_mihai_udrea.png
fcsb_siyabonga_ngezana,fcsb,FCSB,fcsb.png,30,Siyabonga Ngezana,Centre-Back,"Jul 15, 1997 (27)",South Africa,€2.20m,fcsb_siyabonga_ngezana.png
fcsb_joyskim_dawa,fcsb,FCSB,fcsb.png,5,Joyskim Dawa,Centre-Back,"Apr 9, 1996 (28)",Cameroon,€2.00m,fcsb_joyskim_dawa.png
fcsb_mihai_popescu,fcsb,FCSB,fcsb.png,17,Mihai Popescu,Centre-Back,"May 7, 1993 (31)",Romania,€900k,fcsb_mihai_popescu.png
fcsb_vlad_chiriches,fcsb,FCSB,fcsb.png,21,Vlad Chiriches,Centre-Back,"Nov 14, 1989 (35)",Romania,€300k,fcsb_vlad_chiriches.png
fcsb_andrei_dancus,fcsb,FCSB,fcsb.png,6,Andrei Dancus,Centre-Back,"Jan 20, 2009 (16)",Romania,-,fcsb_andrei_dancus.jpg
fcsb_risto_radunovic,fcsb,FCSB,fcsb.png,33,Risto Radunovic,Left-Back,"May 4, 1992 (32)",Montenegro,€1.20m,fcsb_risto_radunovic.png
fcsb_david_kiki,fcsb,FCSB,fcsb.png,12,David Kiki,Left-Back,"Nov 25, 1993 (31)",Benin,€500k,fcsb_david_kiki.png
fcsb_alexandru_pantea,fcsb,FCSB,fcsb.png,28,Alexandru Pantea,Right-Back,"Sep 11, 2003 (21)",Romania,€800k,fcsb_alexandru_pantea.png
fcsb_valentin_cretu,fcsb,FCSB,fcsb.png,2,Valentin Cretu,Right-Back,"Jan 2, 1989 (36)",Romania,€175k,fcsb_valentin_cretu.png
fcsb_adrian_sut,fcsb,FCSB,fcsb.png,8,Adrian Sut,Defensive Midfield,"Apr 30, 1999 (25)",Romania,€2.80m,fcsb_adrian_sut.png
fcsb_mihai_lixandru,fcsb,FCSB,fcsb.png,16,Mihai Lixandru,Central Midfield,"Jun 5, 2001 (23)",Romania,€1.20m,fcsb_mihai_lixandru.png
fcsb_baba_alhassan,fcsb,FCSB,fcsb.png,42,Baba Alhassan,Central Midfield,"Jan 3, 2000 (25)",Ghana,€900k,fcsb_baba_alhassan.png
fcsb_juri_cisotti,fcsb,FCSB,fcsb.png,31,Juri Cisotti,Central Midfield,"May 5, 1993 (31)",Italy,€750k,fcsb_juri_cisotti.png
fcsb_malcom_edjouma,fcsb,FCSB,fcsb.png,18,Malcom Edjouma,Central Midfield,"Oct 8, 1996 (28)",Morocco,€700k,fcsb_malcom_edjouma.png
fcsb_andrei_gheorghita,fcsb,FCSB,fcsb.png,77,Andrei Gheorghita,Left Midfield,"Jul 16, 2002 (22)",Romania,€500k,fcsb_andrei_gheorghita.png
fcsb_darius_olaru,fcsb,FCSB,fcsb.png,27,Darius Olaru,Attacking Midfield,"Mar 3, 1998 (26)",Romania,€7.50m,fcsb_darius_olaru.png
fcsb_florin_tanase,fcsb,FCSB,fcsb.png,7,Florin Tanase,Attacking Midfield,"Dec 30, 1994 (30)",Romania,€2.20m,fcsb_florin_tanase.png
fcsb_octavian_popescu,fcsb,FCSB,fcsb.png,10,Octavian Popescu,Left Winger,"Dec 27, 2002 (22)",Romania,€1.40m,fcsb_octavian_popescu.png
fcsb_alexandru_musi,fcsb,FCSB,fcsb.png,29,Alexandru Musi,Left Winger,"Jul 17, 2004 (20)",Romania,€900k,fcsb_alexandru_musi.png
fcsb_mihai_toma,fcsb,FCSB,fcsb.png,22,Mihai Toma,Left Winger,"Feb 17, 2007 (17)",Romania,€250k,fcsb_mihai_toma.png
fcsb_marius_stefanescu,fcsb,FCSB,fcsb.png,15,Marius Stefanescu,Right Winger,"Aug 14, 1998 (26)",Romania,€1.40m,fcsb_marius_stefanescu.png
fcsb_alexandru_baluta,fcsb,FCSB,fcsb.png,25,Alexandru Baluta,Right Winger,"Sep 13, 1993 (31)",Romania,€1.00m,fcsb_alexandru_baluta.png
fcsb_william_baeten,fcsb,FCSB,fcsb.png,24,William Baeten,Right Winger,"Feb 7, 1997 (28)",Belgium,€700k,fcsb_william_baeten.png
fcsb_daniel_birligea,fcsb,FCSB,fcsb.png,9,Daniel Birligea,Centre-Forward,"Apr 19, 2000 (24)",Romania,€3.80m,fcsb_daniel_birligea.png
fcsb_david_miculescu,fcsb,FCSB,fcsb.png,11,David Miculescu,Centre-Forward,"May 2, 2001 (23)",Romania,€1.50m,fcsb_david_miculescu.png
fcsb_alexandru_stoian,fcsb,FCSB,fcsb.png,90,Alexandru Stoian,Centre-Forward,"Dec 15, 2007 (17)",Romania,€150k,fcsb_alexandru_stoian.jpg
fcsb_denis_colibasanu,fcsb,FCSB,fcsb.png,20,Denis Colibasanu,Centre-Forward,"Mar 10, 2007 (17)",Romania,-,fcsb_denis_colibasanu.png
fc_rapid_1923_marian_aioani,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,16,Marian Aioani,Goalkeeper,"Nov 7, 1999 (25)",Romania,€900k,fc_rapid_1923_marian_aioani.png
fc_rapid_1923_franz_stolz,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,1,Franz Stolz,Goalkeeper,"Feb 14, 2001 (23)",Austria,€200k,fc_rapid_1923_franz_stolz.png
fc_rapid_1923_adrian_briciu,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,31,Adrian Briciu,Goalkeeper,"Aug 17, 2007 (17)",Romania,-,fc_rapid_1923_adrian_briciu.jpg
fc_rapid_1923_alexandru_pascanu,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,5,Alexandru Pascanu,Centre-Back,"Sep 28, 1998 (26)",Romania,€1.70m,fc_rapid_1923_alexandru_pascanu.jpg
fc_rapid_1923_denis_ciobotariu,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,13,Denis Ciobotariu,Centre-Back,"Jun 10, 1998 (26)",Romania,€1.20m,fc_rapid_1923_denis_ciobotariu.png
fc_rapid_1923_cristian_ignat,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,21,Cristian Ignat,Centre-Back,"Jan 29, 2003 (22)",Romania,€1.00m,fc_rapid_1923_cristian_ignat.png
fc_rapid_1923_cristian_sapunaru,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,22,Cristian Sapunaru,Centre-Back,"Apr 5, 1984 (40)",Romania,€100k,fc_rapid_1923_cristian_sapunaru.png
fc_rapid_1923_andrei_borza,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,24,Andrei Borza,Left-Back,"Nov 12, 2005 (19)",Romania,€1.50m,fc_rapid_1923_andrei_borza.png
fc_rapid_1923_robert_badescu,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,3,Robert Badescu,Left-Back,"Apr 2, 2005 (19)",Romania,€150k,fc_rapid_1923_robert_badescu.jpg
fc_rapid_1923_cristian_manea,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,23,Cristian Manea,Right-Back,"Aug 9, 1997 (27)",Romania,€2.30m,fc_rapid_1923_cristian_manea.png
fc_rapid_1923_razvan_onea,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,19,Razvan Onea,Right-Back,"May 19, 1998 (26)",Romania,€550k,fc_rapid_1923_razvan_onea.png
fc_rapid_1923_christopher_braun,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,47,Christopher Braun,Right-Back,"Jul 15, 1991 (33)",Germany,€550k,fc_rapid_1923_christopher_braun.png
fc_rapid_1923_tobias_christensen,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,17,Tobias Christensen,Defensive Midfield,"May 11, 2000 (24)",Norway,€1.50m,fc_rapid_1923_tobias_christensen.jpg
fc_rapid_1923_jakub_hromada,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,14,Jakub Hromada,Defensive Midfield,"May 25, 1996 (28)",Slovakia,€1.00m,fc_rapid_1923_jakub_hromada.png
fc_rapid_1923_kader_keita,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,18,Kader Keita,Defensive Midfield,"Nov 6, 2000 (24)",Cote d'Ivoire,€850k,fc_rapid_1923_kader_keita.png
fc_rapid_1923_diogo_mendes,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,66,Diogo Mendes,Defensive Midfield,"Jan 24, 1998 (27)",Cape Verde,€450k,fc_rapid_1923_diogo_mendes.jpg
